Checked 2000 files, found 2000 so far.
Checked 260000 files, found 260000 so far.
Checked 262000 files, found 262000 so far.
Checked 264000 files, found 264000 so far.
Checked 266000 files, found 266000 so far.
Checked 268000 files, found 268000 so far.
Checked 270000 files, found 270000 so far.
Checked 272000 files, found 272000 so far.
Checked 274000 files, found 274000 so far.
Checked 276000 files, found 276000 so far.
Checked 278000 files, found 278000 so far.
Checked 280000 files, found 280000 so far.
Checked 282000 files, found 282000 so far.
Checked 284000 files, found 284000 so far.
Checked 286000 files, found 286000 so far.
Checked 288000 files, found 288000 so far.
Checked 290000 files, found 290000 so far.
Checked 292000 files, found 292000 so far.
Checked 294000 files, found 294000 so far.
Checked 296000 files, found 296000 so far.
Checked 298000 files, found 298000 so far.
Checked 300000 files, found 300000 so far.
Checked 302000 files, found 302000 so far.
Checked 304000 files, found 304000 so far.
Checked 306000 files, found 306000 so far.
Checked 308000 files, found 308000 so far.
Checked 310000 files, found 310000 so far.
Checked 312000 files, found 312000 so far.
Checked 314000 files, found 314000 so far.
Checked 316000 files, found 316000 so far.
Checked 318000 files, found 318000 so far.
Checked 320000 files, found 320000 so far.
Checked 322000 files, found 322000 so far.
Checked 324000 files, found 324000 so far.
Checked 326000 files, found 326000 so far.
Checked 328000 files, found 328000 so far.
Checked 330000 files, found 330000 so far.
Checked 332000 files, found 332000 so far.
Checked 334000 files, found 334000 so far.
Checked 336000 files, found 336000 so far.
Checked 338000 files, found 338000 so far.
Checked 340000 files, found 340000 so far.
Checked 342000 files, found 342000 so far.
Checked 344000 files, found 344000 so far.
Checked 346000 files, found 346000 so far.
Checked 348000 files, found 348000 so far.
Checked 350000 files, found 350000 so far.
Checked 352000 files, found 352000 so far.
Checked 354000 files, found 354000 so far.
Checked 356000 files, found 356000 so far.
Checked 358000 files, found 358000 so far.
Checked 360000 files, found 360000 so far.
Checked 362000 files, found 362000 so far.
Checked 364000 files, found 364000 so far.
Checked 366000 files, found 366000 so far.
Checked 368000 files, found 368000 so far.
Checked 370000 files, found 370000 so far.
Checked 372000 files, found 372000 so far.
Checked 374000 files, found 374000 so far.
Checked 376000 files, found 376000 so far.
Checked 378000 files, found 378000 so far.
Checked 380000 files, found 380000 so far.
Checked 382000 files, found 382000 so far.
Checked 384000 files, found 384000 so far.
Checked 386000 files, found 386000 so far.
Checked 388000 files, found 388000 so far.
Checked 390000 files, found 390000 so far.
Checked 392000 files, found 392000 so far.
Checked 394000 files, found 394000 so far.
Checked 396000 files, found 396000 so far.
Checked 398000 files, found 398000 so far.
Checked 400000 files, found 400000 so far.
Checked 402000 files, found 402000 so far.
Checked 404000 files, found 404000 so far.
Checked 406000 files, found 406000 so far.
Checked 408000 files, found 408000 so far.
Checked 410000 files, found 410000 so far.
Checked 412000 files, found 412000 so far.
Checked 414000 files, found 414000 so far.
Checked 416000 files, found 416000 so far.
Checked 418000 files, found 418000 so far.
Checked 420000 files, found 420000 so far.
Checked 422000 files, found 422000 so far.
Checked 424000 files, found 424000 so far.
Checked 426000 files, found 426000 so far.
Checked 428000 files, found 428000 so far.
Checked 430000 files, found 430000 so far.
Checked 432000 files, found 432000 so far.
Checked 434000 files, found 434000 so far.
Checked 436000 files, found 436000 so far.
Checked 438000 files, found 438000 so far.
Checked 440000 files, found 440000 so far.
Checked 442000 files, found 442000 so far.
Checked 444000 files, found 444000 so far.
Checked 446000 files, found 446000 so far.
Checked 448000 files, found 448000 so far.
Checked 450000 files, found 450000 so far.
Checked 452000 files, found 452000 so far.
Checked 454000 files, found 454000 so far.
Checked 456000 files, found 456000 so far.
Checked 458000 files, found 458000 so far.
Checked 460000 files, found 460000 so far.
Checked 462000 files, found 462000 so far.
Checked 464000 files, found 464000 so far.
Checked 466000 files, found 466000 so far.
Checked 468000 files, found 468000 so far.
Checked 470000 files, found 470000 so far.
Checked 472000 files, found 472000 so far.
Checked 474000 files, found 474000 so far.
Checked 476000 files, found 476000 so far.
Checked 478000 files, found 478000 so far.
Checked 480000 files, found 480000 so far.
Checked 482000 files, found 482000 so far.
Checked 484000 files, found 484000 so far.
Checked 486000 files, found 486000 so far.
Checked 488000 files, found 488000 so far.
Checked 490000 files, found 490000 so far.
Checked 492000 files, found 492000 so far.
Checked 494000 files, found 494000 so far.
Checked 496000 files, found 496000 so far.
Checked 498000 files, found 498000 so far.
Checked 500000 files, found 500000 so far.
Checked 502000 files, found 502000 so far.
Checked 504000 files, found 504000 so far.
Checked 506000 files, found 506000 so far.
Checked 508000 files, found 508000 so far.
Checked 510000 files, found 510000 so far.
Checked 512000 files, found 512000 so far.
Checked 514000 files, found 514000 so far.
Checked 516000 files, found 516000 so far.
Checked 518000 files, found 518000 so far.
Checked 520000 files, found 520000 so far.
Checked 522000 files, found 522000 so far.
Checked 524000 files, found 524000 so far.
Checked 526000 files, found 526000 so far.
Checked 528000 files, found 528000 so far.
Checked 530000 files, found 530000 so far.
Checked 532000 files, found 532000 so far.
Checked 534000 files, found 534000 so far.
Checked 536000 files, found 536000 so far.
Checked 538000 files, found 538000 so far.
Checked 540000 files, found 540000 so far.
Checked 542000 files, found 542000 so far.
Checked 544000 files, found 544000 so far.
Checked 546000 files, found 546000 so far.
Checked 548000 files, found 548000 so far.
Checked 550000 files, found 550000 so far.
Checked 552000 files, found 552000 so far.
Checked 554000 files, found 554000 so far.
Checked 556000 files, found 556000 so far.
Checked 558000 files, found 558000 so far.
Checked 560000 files, found 560000 so far.
Checked 562000 files, found 562000 so far.
Checked 564000 files, found 564000 so far.
Checked 566000 files, found 566000 so far.
Checked 568000 files, found 568000 so far.
Checked 570000 files, found 570000 so far.
Checked 572000 files, found 572000 so far.
Checked 574000 files, found 574000 so far.
Checked 576000 files, found 576000 so far.
Checked 578000 files, found 578000 so far.
Checked 580000 files, found 580000 so far.
Checked 582000 files, found 582000 so far.
Checked 584000 files, found 584000 so far.
Checked 586000 files, found 586000 so far.
Checked 588000 files, found 588000 so far.
Checked 590000 files, found 590000 so far.
Checked 592000 files, found 592000 so far.
Checked 594000 files, found 594000 so far.
Checked 596000 files, found 596000 so far.
Checked 598000 files, found 598000 so far.
Checked 600000 files, found 600000 so far.
Checked 602000 files, found 602000 so far.
Checked 604000 files, found 604000 so far.
Checked 606000 files, found 606000 so far.
Checked 608000 files, found 608000 so far.
Checked 610000 files, found 610000 so far.
Checked 612000 files, found 612000 so far.
Checked 614000 files, found 614000 so far.
Checked 616000 files, found 616000 so far.
Checked 618000 files, found 618000 so far.
Checked 620000 files, found 620000 so far.
Checked 622000 files, found 622000 so far.
Checked 624000 files, found 624000 so far.
Checked 626000 files, found 626000 so far.
Checked 628000 files, found 628000 so far.
Checked 630000 files, found 630000 so far.
Checked 632000 files, found 632000 so far.
Checked 634000 files, found 634000 so far.
Checked 636000 files, found 636000 so far.
Checked 638000 files, found 638000 so far.
Checked 640000 files, found 640000 so far.
Checked 642000 files, found 642000 so far.
Checked 644000 files, found 644000 so far.
Checked 646000 files, found 646000 so far.
Checked 648000 files, found 648000 so far.
Checked 650000 files, found 650000 so far.
Finished checking. Found 651093 out of 651093 files.

----------------------------------------------
|                SLURM EPILOG                |
----------------------------------------------
Job ID: 3851582
Cluster: flamingo
User/Group: a_morelli/gs_hpc_u1018
Nodelist: n02
Nodes: 1
Cores per node: 2
Job started at: 2026-04-10 11:32:27
Job ended at:   2026-04-10 11:33:23
Job Wall-clock time: 00:00:56
CPU Utilized: 00:00:14
CPU Efficiency: 12.50% of 00:01:52 core-walltime
Memory Utilized: 912.53 MB
Memory Efficiency: 44.56% of 2.00 GB
